candidate_id,estimator_type,false_negatives_validation,hyperparameters,overfitting_gap,threshold,threshold_strategy,validation_balanced_accuracy,validation_brier_score,validation_f1,validation_recall
random_forest_n=50_depth=4_leaf=1_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 50, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.3350752136657455,max_f1,0.65,0.2039868605717973,0.5882352941176471,1.0
random_forest_n=50_depth=4_leaf=3_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 50, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.333116260544267,max_f1,0.65,0.20623148638906122,0.5882352941176471,1.0
random_forest_n=100_depth=4_leaf=1_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 4, ""min_samples_leaf"": 1, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.31828860256107644,max_f1,0.65,0.20637343475430414,0.5882352941176471,1.0
logistic_regression_C=10.0_class_weight=none_threshold=max_f1,logistic_regression,0,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 500, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.3009142156390672,max_f1,0.65,0.20808029823021282,0.5882352941176471,1.0
random_forest_n=50_depth=2_leaf=1_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 50, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.32994269126504533,max_f1,0.65,0.20835859871268222,0.5882352941176471,1.0
random_forest_n=100_depth=4_leaf=3_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.3169397731309843,max_f1,0.65,0.20896532228211626,0.5882352941176471,1.0
random_forest_n=50_depth=2_leaf=3_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 2, ""min_samples_leaf"": 3, ""n_estimators"": 50, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.32994269126504533,max_f1,0.65,0.20930395196483567,0.5882352941176471,1.0
random_forest_n=100_depth=2_leaf=1_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.31989344737224296,max_f1,0.65,0.21064743465469707,0.5882352941176471,1.0
random_forest_n=100_depth=2_leaf=3_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 2, ""min_samples_leaf"": 3, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.31988514067371965,max_f1,0.65,0.2122071937767109,0.5882352941176471,1.0
logistic_regression_C=1.0_class_weight=none_threshold=max_f1,logistic_regression,0,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 500, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": -0.12652173913043485, ""f1_train_minus_validation"": -0.06076276664511959, ""recall_train_minus_validation"": -0.040000000000000036}",0.31021414069204833,max_f1,0.65,0.21449857755428076,0.5882352941176471,1.0
