candidate_id,estimator_type,false_negatives_validation,hyperparameters,overfitting_gap,threshold,threshold_strategy,validation_balanced_accuracy,validation_brier_score,validation_f1,validation_recall
logistic_regression_C=10.0_class_weight=balanced_threshold=max_f1,logistic_regression,0,"{""C"": 10.0, ""class_weight"": ""balanced"", ""max_iter"": 500, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.2642610262338985,max_f1,0.65,0.20814758623169513,0.5882352941176471,1.0
logistic_regression_C=1.0_class_weight=balanced_threshold=max_f1,logistic_regression,0,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 500, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.28412763008635816,max_f1,0.65,0.2109423526730358,0.5882352941176471,1.0
logistic_regression_C=1.0_class_weight=none_threshold=max_f1,logistic_regression,0,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 500, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.17646404400119597,max_f1,0.65,0.22067961070031197,0.5882352941176471,1.0
random_forest_n=50_depth=2_leaf=1_class_weight=balanced_threshold=max_f1,random_forest,0,"{""class_weight"": ""balanced"", ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 50, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.3657548280865111,max_f1,0.65,0.22156566837879288,0.5882352941176471,1.0
logistic_regression_C=10.0_class_weight=none_threshold=max_f1,logistic_regression,0,"{""C"": 10.0, ""class_weight"": null, ""max_iter"": 500, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.15771023985755675,max_f1,0.65,0.22223944912236798,0.5882352941176471,1.0
random_forest_n=50_depth=2_leaf=3_class_weight=balanced_threshold=max_f1,random_forest,0,"{""class_weight"": ""balanced"", ""max_depth"": 2, ""min_samples_leaf"": 3, ""n_estimators"": 50, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.36631638934467775,max_f1,0.65,0.22376477457590546,0.5882352941176471,1.0
logistic_regression_C=0.1_class_weight=balanced_threshold=max_f1,logistic_regression,0,"{""C"": 0.1, ""class_weight"": ""balanced"", ""max_iter"": 500, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.37827761098156826,max_f1,0.65,0.2240365508437576,0.5882352941176471,1.0
random_forest_n=100_depth=2_leaf=1_class_weight=balanced_threshold=max_f1,random_forest,0,"{""class_weight"": ""balanced"", ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.34029124887791673,max_f1,0.65,0.2240668520383218,0.5882352941176471,1.0
random_forest_n=50_depth=2_leaf=1_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 50, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.24165646694392065,max_f1,0.65,0.22436016197365266,0.5882352941176471,1.0
random_forest_n=50_depth=2_leaf=3_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 2, ""min_samples_leaf"": 3, ""n_estimators"": 50, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.2422441062549642,max_f1,0.65,0.22436819749826764,0.5882352941176471,1.0
random_forest_n=100_depth=2_leaf=1_class_weight=none_threshold=max_f1,random_forest,0,"{""class_weight"": null, ""max_depth"": 2, ""min_samples_leaf"": 1, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.22545089542287447,max_f1,0.65,0.22724875796841265,0.5882352941176471,1.0
random_forest_n=100_depth=2_leaf=3_class_weight=balanced_threshold=max_f1,random_forest,0,"{""class_weight"": ""balanced"", ""max_depth"": 2, ""min_samples_leaf"": 3, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": -0.11739130434782608, ""f1_train_minus_validation"": -0.050600885515496574, ""recall_train_minus_validation"": 0.0}",0.33941076940672715,max_f1,0.65,0.2273049031872943,0.5882352941176471,1.0
