candidate_id,estimator_type,feature_count,hyperparameters,overfitting_gap,validation_balanced_accuracy,validation_macro_f1,validation_macro_recall,validation_suicidal_f1,validation_suicidal_false_negatives,validation_suicidal_recall,vectorizer_config,vectorizer_name,vocabulary_hash
word_tfidf_logistic_regression_C=1.0_class_weight=balanced,logistic_regression,20000,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 300, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": 0.0782332503474048, ""macro_f1_train_minus_validation"": 0.07475137714040514, ""suicidal_recall_train_minus_validation"": 0.11526605511823207}",0.7996420368858163,0.7981564495922604,0.7996420368858163,0.7182680901542111,470,0.7204045211183819,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
word_tfidf_logistic_regression_C=2.0_class_weight=balanced,logistic_regression,20000,"{""C"": 2.0, ""class_weight"": ""balanced"", ""max_iter"": 300, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": 0.10313200799208044, ""macro_f1_train_minus_validation"": 0.09847639927778085, ""suicidal_recall_train_minus_validation"": 0.15372412247026412}",0.8024985906552449,0.8024361715560593,0.8024985906552449,0.7161079798279443,474,0.7180249851279,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
word_tfidf_linear_svm_C=0.5_class_weight=balanced,linear_svm,20000,"{""C"": 0.5, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.1474753128736671, ""macro_f1_train_minus_validation"": 0.14272632762077242, ""suicidal_recall_train_minus_validation"": 0.2163621311590287}",0.7989930617278725,0.7995109513250069,0.7989930617278725,0.7132287659070731,476,0.7168352171326592,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
word_tfidf_logistic_regression_C=0.5_class_weight=balanced,logistic_regression,20000,"{""C"": 0.5, ""class_weight"": ""balanced"", ""max_iter"": 300, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": 0.05612045580225422, ""macro_f1_train_minus_validation"": 0.0530577876782411, ""suicidal_recall_train_minus_validation"": 0.08832336146771624}",0.7933297089868445,0.7910423391915073,0.7933297089868445,0.7103468722205751,483,0.7126710291493159,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
word_tfidf_linear_svm_C=1.0_class_weight=balanced,linear_svm,20000,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.18080278439184472, ""macro_f1_train_minus_validation"": 0.17666496193428416, ""suicidal_recall_train_minus_validation"": 0.2597488473174554}",0.7887767803907458,0.7905663202716664,0.7887767803907458,0.7020142180094787,496,0.7049375371802499,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
word_tfidf_linear_svm_C=0.5_class_weight=none,linear_svm,20000,"{""C"": 0.5, ""class_weight"": null, ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.15029671872991957, ""macro_f1_train_minus_validation"": 0.14312314756974454, ""suicidal_recall_train_minus_validation"": 0.2223942427606015}",0.7898970127292608,0.7984621072031076,0.7898970127292608,0.7044902912621359,520,0.6906603212373588,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
word_tfidf_linear_svm_C=2.0_class_weight=balanced,linear_svm,20000,"{""C"": 2.0, ""class_weight"": ""balanced"", ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.20883379036559058, ""macro_f1_train_minus_validation"": 0.20415910601624954, ""suicidal_recall_train_minus_validation"": 0.29820570123960966}",0.7767079446473224,0.7803523517373927,0.7767079446473224,0.686850697536361,524,0.6882807852468769,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
word_tfidf_logistic_regression_C=2.0_class_weight=none,logistic_regression,20000,"{""C"": 2.0, ""class_weight"": null, ""max_iter"": 300, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": 0.10311827766558435, ""macro_f1_train_minus_validation"": 0.09871056497413855, ""suicidal_recall_train_minus_validation"": 0.1563984460816984}",0.7846997419168233,0.7961083717553873,0.7846997419168233,0.7057379564283522,531,0.6841165972635336,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
word_tfidf_linear_svm_C=1.0_class_weight=none,linear_svm,20000,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.18754929605552695, ""macro_f1_train_minus_validation"": 0.17975084616057557, ""suicidal_recall_train_minus_validation"": 0.2699457536173103}",0.7810738626814244,0.7888749887441037,0.7810738626814244,0.6928657799274486,535,0.6817370612730518,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
word_tfidf_logistic_regression_C=1.0_class_weight=none,logistic_regression,20000,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 300, ""random_state"": 42, ""solver"": ""liblinear""}","{""balanced_accuracy_train_minus_validation"": 0.07419368715096131, ""macro_f1_train_minus_validation"": 0.07095144408682752, ""suicidal_recall_train_minus_validation"": 0.11742967642982238}",0.7792133105171601,0.7927896096504452,0.7792133105171601,0.703955500618047,542,0.6775728732897085,"{""kind"": ""word"", ""max_df"": 0.95, ""max_features"": 20000, ""min_df"": 2, ""name"": ""word_tfidf"", ""ngram_range"": [1, 2], ""sublinear_tf"": true}",word_tfidf,77a272a1417dc347431228d4cf88a538bc8ad515ff5c4504e3d025cd8b45c444
