candidate_id,estimator_type,feature_count,hyperparameters,overfitting_gap,validation_balanced_accuracy,validation_macro_f1,validation_macro_recall,validation_min_class_recall
random_forest_n=200_depth=12_leaf=3_class_weight=none,random_forest,44,"{""class_weight"": null, ""max_depth"": 12, ""min_samples_leaf"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.4626762118820856, ""macro_f1_train_minus_validation"": 0.4773716712999844, ""macro_recall_train_minus_validation"": 0.4626762118820855}",0.44378339985151,0.4270232284604409,0.44378339985150994,0.2882882882882883
random_forest_n=100_depth=12_leaf=3_class_weight=balanced,random_forest,44,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""min_samples_leaf"": 3, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.418691537756836, ""macro_f1_train_minus_validation"": 0.4284028376974705, ""macro_recall_train_minus_validation"": 0.418691537756836}",0.4440513330680319,0.4232209355914504,0.4440513330680319,0.29347826086956524
random_forest_n=100_depth=12_leaf=1_class_weight=balanced,random_forest,44,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""min_samples_leaf"": 1, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.449246730884557, ""macro_f1_train_minus_validation"": 0.45537973472384713, ""macro_recall_train_minus_validation"": 0.449246730884557}",0.4332696723933137,0.4226697897856279,0.4332696723933137,0.2971014492753623
random_forest_n=200_depth=12_leaf=3_class_weight=balanced,random_forest,44,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""min_samples_leaf"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.42065949779588774, ""macro_f1_train_minus_validation"": 0.4331211822283966, ""macro_recall_train_minus_validation"": 0.42065949779588774}",0.44499276784822017,0.4216990262661181,0.44499276784822017,0.2898550724637681
random_forest_n=200_depth=12_leaf=1_class_weight=none,random_forest,44,"{""class_weight"": null, ""max_depth"": 12, ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.5036824858371407, ""macro_f1_train_minus_validation"": 0.5164396011490323, ""macro_recall_train_minus_validation"": 0.5036824858371407}",0.43488914554285346,0.4215257715499233,0.43488914554285346,0.2972972972972973
random_forest_n=200_depth=12_leaf=1_class_weight=balanced,random_forest,44,"{""class_weight"": ""balanced"", ""max_depth"": 12, ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.45640795517389066, ""macro_f1_train_minus_validation"": 0.46169353751575637, ""macro_recall_train_minus_validation"": 0.45640795517389066}",0.42917895465318323,0.4196955475861074,0.42917895465318323,0.2826086956521739
random_forest_n=100_depth=12_leaf=3_class_weight=none,random_forest,44,"{""class_weight"": null, ""max_depth"": 12, ""min_samples_leaf"": 3, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.4762690336166712, ""macro_f1_train_minus_validation"": 0.4915034943891182, ""macro_recall_train_minus_validation"": 0.47626903361667106}",0.43139350534073534,0.41553024893581536,0.4313935053407354,0.23423423423423423
random_forest_n=100_depth=12_leaf=1_class_weight=none,random_forest,44,"{""class_weight"": null, ""max_depth"": 12, ""min_samples_leaf"": 1, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.5085889939112808, ""macro_f1_train_minus_validation"": 0.5197257139923896, ""macro_recall_train_minus_validation"": 0.5085889939112805}",0.4257998621515452,0.41261743565266623,0.4257998621515452,0.2644927536231884
random_forest_n=200_depth=8_leaf=1_class_weight=none,random_forest,44,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 200, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.338564499804461, ""macro_f1_train_minus_validation"": 0.3444860268100969, ""macro_recall_train_minus_validation"": 0.33856449980446096}",0.43388823974575197,0.4103362616855676,0.433888239745752,0.2028985507246377
random_forest_n=100_depth=8_leaf=1_class_weight=none,random_forest,44,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.3404268958214001, ""macro_f1_train_minus_validation"": 0.34927780528175645, ""macro_recall_train_minus_validation"": 0.3404268958214002}",0.43207117295673575,0.40750560276603764,0.4320711729567357,0.18840579710144928
random_forest_n=100_depth=8_leaf=3_class_weight=none,random_forest,44,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.3505556960227372, ""macro_f1_train_minus_validation"": 0.353208050974118, ""macro_recall_train_minus_validation"": 0.3505556960227372}",0.41743357510143975,0.3977933748437509,0.41743357510143975,0.2028985507246377
logistic_regression_C=1.0_class_weight=none,logistic_regression,44,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 200, ""multi_class"": ""multinomial"", ""random_state"": 42, ""solver"": ""lbfgs""}","{""balanced_accuracy_train_minus_validation"": 0.2838309142105345, ""macro_f1_train_minus_validation"": 0.2943943921319219, ""macro_recall_train_minus_validation"": 0.2838309142105344}",0.41046016088069914,0.39523085149504106,0.41046016088069914,0.22119815668202766
random_forest_n=200_depth=8_leaf=3_class_weight=balanced,random_forest,44,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.2989439419535808, ""macro_f1_train_minus_validation"": 0.29850950237531515, ""macro_recall_train_minus_validation"": 0.2989439419535807}",0.4333213570770548,0.394040019746007,0.4333213570770548,0.17028985507246377
random_forest_n=200_depth=8_leaf=3_class_weight=none,random_forest,44,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 200, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.344637428247324, ""macro_f1_train_minus_validation"": 0.35237893394459985, ""macro_recall_train_minus_validation"": 0.344637428247324}",0.4174809738149061,0.39337790665097605,0.4174809738149061,0.18478260869565216
random_forest_n=100_depth=8_leaf=3_class_weight=balanced,random_forest,44,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 100, ""n_jobs"": 1, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.301359688811059, ""macro_f1_train_minus_validation"": 0.30073340396921466, ""macro_recall_train_minus_validation"": 0.301359688811059}",0.43058678455987365,0.39090202965097265,0.43058678455987365,0.16666666666666666
linear_svm_C=1.0_class_weight=none,linear_svm,44,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 3000, ""random_state"": 42}","{""balanced_accuracy_train_minus_validation"": 0.29076270557595263, ""macro_f1_train_minus_validation"": 0.2957513216306603, ""macro_recall_train_minus_validation"": 0.29076270557595263}",0.40746558755083473,0.3893886552950001,0.40746558755083473,0.23423423423423423
